,Date,Team,Elo
9744,2014-03-19,MEM,1641.2448321288525
9777,2014-03-21,MEM,1643.6885523227393
9792,2014-03-22,MEM,1637.3488002134782
9824,2014-03-24,MEM,1644.0472138247724
9863,2014-03-26,MEM,1647.9915405559354
9895,2014-03-28,MEM,1653.665411837518
9921,2014-03-30,MEM,1644.8833370897473
9941,2014-03-31,MEM,1635.3670670640377
9967,2014-04-02,MEM,1644.1281094124831
9982,2014-04-04,MEM,1632.699257514156
10031,2014-04-06,MEM,1636.6658440243036
10060,2014-04-09,MEM,1632.0776770709049
10090,2014-04-11,MEM,1639.7672907084652
10133,2014-04-13,MEM,1640.8572175030524
10151,2014-04-14,MEM,1646.214431382403
10166,2014-04-16,MEM,1656.7567085316834
10204,2014-10-29,MEM,1662.5686624605298
10227,2014-10-31,MEM,1666.0126779572902
10270,2014-11-03,MEM,1676.3548153041152
10307,2014-11-05,MEM,1679.0184366599055
10331,2014-11-07,MEM,1688.8154671990244
10351,2014-11-08,MEM,1700.3336255269078
10380,2014-11-11,MEM,1682.8154406463493
10406,2014-11-13,MEM,1684.4945582771084
10440,2014-11-15,MEM,1686.9957747882056
10466,2014-11-17,MEM,1688.5298864088868
10495,2014-11-19,MEM,1695.2991070535993
10512,2014-11-21,MEM,1684.8938826298156
10548,2014-11-23,MEM,1686.4184533082152
10599,2014-11-26,MEM,1692.9817777488115
10619,2014-11-28,MEM,1697.3880084122127
10639,2014-11-30,MEM,1708.2024829957238
10685,2014-12-03,MEM,1714.616364398094
10710,2014-12-05,MEM,1705.6922030930573
10740,2014-12-07,MEM,1693.1421026562116
10766,2014-12-09,MEM,1697.0720612473554
10831,2014-12-13,MEM,1702.3652707825506
10868,2014-12-16,MEM,1704.445574735975
10887,2014-12-17,MEM,1711.864411595358
10912,2014-12-19,MEM,1724.1701401455887
10935,2014-12-21,MEM,1708.463715671393
10954,2014-12-22,MEM,1695.1256672660832
11000,2014-12-26,MEM,1676.6844062786977
11017,2014-12-27,MEM,1663.4039004825152
11058,2014-12-30,MEM,1672.144590479834
11107,2015-01-02,MEM,1678.697925577702
11117,2015-01-03,MEM,1683.9627402496476
11140,2015-01-05,MEM,1670.777794800187
11165,2015-01-07,MEM,1672.2296818000318
11193,2015-01-09,MEM,1663.773141508007
11228,2015-01-11,MEM,1652.1232506665583
11259,2015-01-14,MEM,1657.2947114405065
11283,2015-01-16,MEM,1664.2207209364224
11316,2015-01-17,MEM,1668.6024430374878
11334,2015-01-19,MEM,1675.3411156689886
11360,2015-01-21,MEM,1661.125316312178
11404,2015-01-24,MEM,1666.2752656980304
11432,2015-01-26,MEM,1667.3280771881016
11449,2015-01-27,MEM,1668.678631012536
11478,2015-01-29,MEM,1679.973479013328
11510,2015-01-31,MEM,1682.8346280539427
11537,2015-02-02,MEM,1687.587093214333
11567,2015-02-04,MEM,1697.1268393927335
11593,2015-02-06,MEM,1702.1497736317433
11618,2015-02-08,MEM,1685.5745985736576
11648,2015-02-10,MEM,1693.0946715027014
11671,2015-02-11,MEM,1695.6224962741837
11731,2015-02-22,MEM,1685.520280588713
11749,2015-02-23,MEM,1696.0219541387178
11777,2015-02-25,MEM,1707.4366206120126
11798,2015-02-27,MEM,1691.5156105999104
11817,2015-02-28,MEM,1677.1083245557943
11856,2015-03-03,MEM,1681.785789913443
11869,2015-03-04,MEM,1664.3346407519402
11902,2015-03-06,MEM,1676.8022303653813
11911,2015-03-07,MEM,1678.3320054395858
11943,2015-03-09,MEM,1666.4837483319106
11967,2015-03-11,MEM,1676.9520847998988
11985,2015-03-12,MEM,1663.0248985030794
12014,2015-03-14,MEM,1651.3881541697651
12042,2015-03-16,MEM,1654.2889112660248
12055,2015-03-17,MEM,1657.2133264712386
12107,2015-03-20,MEM,1642.1636272200838
12120,2015-03-21,MEM,1653.8901423753553
12149,2015-03-23,MEM,1659.8110605888526
12176,2015-03-25,MEM,1663.6180795939972
12206,2015-03-27,MEM,1649.4180883322267
12239,2015-03-29,MEM,1638.9130217462098
12248,2015-03-30,MEM,1631.8923679100596
12298,2015-04-03,MEM,1634.1632657785372
12314,2015-04-04,MEM,1640.3443628599284
12362,2015-04-08,MEM,1624.4439170951764
12399,2015-04-10,MEM,1629.660864732811
12409,2015-04-11,MEM,1638.5435315941943
12449,2015-04-13,MEM,1632.237061141269
12478,2015-04-15,MEM,1627.7686631322654
12504,2015-10-28,MEM,1632.103120713106
12517,2015-10-29,MEM,1618.568076971539
12550,2015-10-31,MEM,1627.8623055354115
12579,2015-11-02,MEM,1631.8076298408284
12591,2015-11-03,MEM,1627.8329809103593
12621,2015-11-05,MEM,1633.4383403992454
12653,2015-11-07,MEM,1624.5339744857447
12681,2015-11-09,MEM,1614.163953595101
12706,2015-11-11,MEM,1608.6750156842031
12730,2015-11-13,MEM,1600.9408508715833
12757,2015-11-15,MEM,1606.719033501997
12772,2015-11-16,MEM,1612.1732340837916
12816,2015-11-20,MEM,1618.2976296836446
12847,2015-11-21,MEM,1624.9504845855802
12876,2015-11-24,MEM,1619.4647771312189
12893,2015-11-25,MEM,1626.5110407937007
12916,2015-11-27,MEM,1637.8481090274715
12946,2015-11-29,MEM,1623.5442987351505
12981,2015-12-01,MEM,1624.443621325343
13006,2015-12-03,MEM,1633.6722502594732
13042,2015-12-06,MEM,1622.946265235784
13074,2015-12-08,MEM,1626.6418813418156
13085,2015-12-09,MEM,1612.3562718659948
13145,2015-12-13,MEM,1621.1529392810178
13160,2015-12-14,MEM,1609.7496848614862
13189,2015-12-16,MEM,1614.3265444520812
13221,2015-12-18,MEM,1606.8668317017941
13234,2015-12-19,MEM,1598.751423599218
13267,2015-12-22,MEM,1604.8861065447738
13281,2015-12-23,MEM,1607.4226290294587
13332,2015-12-27,MEM,1597.1177040782215
